day,date,pccpue
-10,2016-05-21,0.0037359889256582445
-9,2016-05-22,0.004959661772025955
-8,2016-05-23,0.0065841057856210975
-7,2016-05-24,0.008740559403028716
-6,2016-05-25,0.011603221689644276
-5,2016-05-26,0.015403303722946854
-4,2016-05-27,0.02044766693373223
-3,2016-05-28,0.027143538986998752
-2,2016-05-29,0.03603127698170528
-1,2016-05-30,0.047827777035010996
0,2016-05-31,0.06348395264489808
1,2016-06-01,0.08426077601591316
2,2016-06-02,0.11182976216330548
3,2016-06-03,0.14840554989691812
4,2016-06-04,0.1969204752465993
5,2016-06-05,0.2612538098030823
6,2016-06-06,0.3465316777046557
7,2016-06-07,0.45951750388148815
8,2016-06-08,0.6091169175287026
9,2016-06-09,0.8070246950549805
10,2016-06-10,1.0685432521001297
11,2016-06-11,1.4135998988403642
12,2016-06-12,1.867979190910472
13,2016-06-13,2.4647600339526705
14,2016-06-14,3.2458936573956967
15,2016-06-15,4.263762743396533
16,2016-06-16,5.582405773751288
17,2016-06-17,7.277860235466275
18,2016-06-18,9.436781686465029
19,2016-06-19,12.1521959853675
20,2016-06-20,15.515104993905346
21,2016-06-21,19.600995042736393
22,2016-06-22,24.451482105057824
23,2016-06-23,30.053595157017227
24,2016-06-24,36.32213260913558
25,2016-06-25,43.09263783607033
26,2016-06-26,50.131616559297385
27,2016-06-27,57.165382122321716
28,2016-06-28,63.92104990825004
29,2016-06-29,70.16728066977991
30,2016-06-30,75.74250011950639
31,2016-07-01,80.56440607466133
32,2016-07-02,84.62241227248904
33,2016-07-03,87.95976221842794
34,2016-07-04,90.65282127076597
35,2016-07-05,92.79287494274867
36,2016-07-06,94.47283318093302
37,2016-07-07,95.77901131821784
38,2016-07-08,96.78701184149658
39,2016-07-09,97.5604263281736
40,2016-07-10,98.15122450704547
41,2016-07-11,98.6009991624487
42,2016-07-12,98.94253043453902
43,2016-07-13,99.20136066207832
44,2016-07-14,99.39722458295972
45,2016-07-15,99.54527364663292
46,2016-07-16,99.65708548657662
47,2016-07-17,99.74147551694587
48,2016-07-18,99.80513807222013
49,2016-07-19,99.8531465833726
50,2016-07-20,99.88934025883626
